CODIGO,DESCRIPCIÓN,PRECIO UNITARIO B/.,EXISTENCIA ALMACÉN CDPA MAYO 2024,EXISTENCIA ALMACÉN CDDI MAYO 2024,EXISTENCIA ALMACÉN CDCH MAYO 2024,MONTO DE EXISTENCIAS MAYO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES MAYO 2024,EXISTENCIA ALMACÉN CDPA JUNIO 2024,EXISTENCIA ALMACÉN CDDI JUNIO 2024,EXISTENCIA ALMACÉN CDCH JUNIO 2024,MONTO DE EXISTENCIAS JUNIO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES JUNIO 2024,EXISTENCIA ALMACÉN CDPA JULIO 2024,EXISTENCIA ALMACÉN CDDI JULIO 2024,EXISTENCIA ALMACÉN CDCH JULIO 2024,MONTO DE EXISTENCIAS JULIO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES JULIO 2024,EXISTENCIA ALMACÉN CDPA AGOSTO 2024,EXISTENCIA ALMACÉN CDDI AGOSTO 2024,EXISTENCIA ALMACÉN CDCH AGOSTO 2024,MONTO DE EXISTENCIAS AGOSTO EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES AGOSTO 2024,EXISTENCIA ALMACÉN CDPA SEPTIEMBRE  2024,EXISTENCIA ALMACÉN CDDI SEPTIEMBRE 2024,EXISTENCIA ALMACÉN CDCH SEPTIEMBRE 2024,MONTO DE EXISTENCIAS SEPTIEMBRE EN B/.,TOTAL DE EXISTENCIAS  DISPONIBLES SEPTIEMBRE 2024
101000801,"GLIBENCLAMIDA, 5MG, TABLETA, V.O",0.03,14541000,2880000,544000,538950,17965000,26440000,1379000,797000,858480,28616000,25209000,1098000,608000,807450,26915000,18219000,597000,192000,570240,19008000,11140000,73000,684000,356910,11897000
101001101,"PARACETAMOL (ACETAMINOFÉN), 500MG, TABLETA, V.O.",0.03,15301000,5163000,7942000,852180,28406000,7011000,1631000,3548000,365700,12190000,9742000,1284000,1889000,387450,12915000,1890000,804000,153000,85410,2847000,1000,0,0,30,1000
101001601,"LEUCOVORINA CÁLCICA (ACIDO FOLÍNICO), 15MG, TABLETA, V.O.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210570,590580,229680,0,1030830,2931,0,0,0,2931
101001801,"FINASTERIDA, 5 MG, TABLETA, V.O.",0.047,1666590,900300,730590,154981.56,3297480,1090080,499080,212730,84688.83,1801890,548460,782280,390960,80919.9,1721700,15040,5520,1700,1046.22,22260,0,227880,51780,13144.02,279660
101002001,"HIDRALAZINA CLORHIDRATO 50mg, tableta, V.O. ",0.12,0,0,0,0,0,0,0,0,0,0,128113,5700,0,16057.56,133813,497084,0,0,59650.08,497084,77250,14130,4950,11559.6,96330
101002101,"BLOQUEADORES DE LOS RECEPTORES ALFA 1 ADRENÉRGICOS: TERAZOSINA, 2MG O DOXAZOSINA, 2MG, CÁPSULA O TABLETA, V.O.",0.04,420140,103992,109424,25342.24,633556,188944,0,0,7557.76,188944,12348,0,0,493.92,12348,8840,0,346180,14200.8,355020,16800,0,0,672,16800
101002301,"HIDROXICINA, 25MG, CÁPSULA O TABLETA, V.O.",0.099,842440,180240,1236040,223613.28,2258720,403760,13560,651180,105781.5,1068500,108480,20620,554440,67670.46,683540,0,0,0,0,0,0,0,128240,12695.76,128240
101002401,"ALFACALCIDOL, 1MCG, CÁPSULA, V.O.",0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2631400,129400,198600,1923610,2959400,0,0,0,0,0
101002601,"ESCOPOLAMINA BUTILBROMURO (HIOSCINA), 10MG, TABLETA, V.O.",0.047,4644100,902300,1216200,317842.2,6762600,3093900,367200,723700,196685.6,4184800,2811500,174900,547800,166107.4,3534200,60000,14000,8000,3854,82000,1213800,5400,183000,65903.4,1402200
101003101,"DIFENHIDRAMINA, 25MG, CÁPSULA, V.O.",0.07,575000,238000,68000,61670,881000,419000,121000,17000,38990,557000,205000,65000,61000,23170,331000,0,0,0,0,0,990000,261000,314000,109550,1565000
